"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"158","Scotty Miller (TB)","5","9","38","7.6","13","0","0","2","43","1","0","6","19.1","3.2","0.7%"
"159","Kenny Stills (NO)","6","23","68","11.3","22","0","1","1","1","0","0","7","18.9","2.7","0.1%"
"160","Tom Kennedy (DET)","6","10","54","9.0","15","0","0","0","0","0","0","7","18.4","2.6","0.0%"
"161","Phillip Dorsett II (HOU)","7","14","110","15.7","36","0","0","1","0","0","0","5","18.0","3.6","0.0%"
"162","Dede Westbrook (MIN)","10","15","68","6.8","17","0","0","0","0","0","0","15","16.8","1.1","0.1%"
"163","Shi Smith (CAR)","6","11","104","17.3","63","0","0","1","-3","0","0","5","16.1","3.2","0.1%"
"164","Dez Fitzpatrick (TEN)","5","8","49","9.8","18","0","1","0","0","0","0","3","15.9","5.3","0.1%"
"165","Dax Milne (WAS)","9","14","83","9.2","22","0","0","1","1","0","1","9","15.4","1.7","0.0%"
"166","Anthony Miller (PIT)","6","12","25","4.2","10","0","1","0","0","0","0","3","14.5","4.8","0.3%"
"167","Josh Gordon (KC)","5","14","32","6.4","11","0","1","0","0","0","0","9","14.2","1.6","1.8%"
"168","Chris Hogan (FA)","4","8","41","10.3","16","0","1","0","0","0","0","5","14.1","2.8","0.0%"
"169","Preston Williams (MIA)","6","16","71","11.8","34","0","0","1","7","0","0","6","13.8","2.3","0.1%"
"170","Auden Tate (ATL)","3","4","39","13.0","18","0","1","0","0","0","0","4","12.9","3.2","0.1%"
"171","Penny Hart (SEA)","7","12","59","8.4","16","0","0","0","0","0","0","12","12.9","1.1","0.0%"
"172","KJ Hamler (DEN)","5","10","74","14.8","28","0","0","0","0","0","0","3","12.4","4.1","0.8%"
"173","Juwann Winfree (GB)","8","13","58","7.3","12","0","0","0","0","0","1","5","11.8","2.4","0.0%"
"174","Jaelon Darden (TB)","6","12","43","7.2","29","0","0","1","11","0","0","9","11.4","1.3","0.1%"
"175","Cameron Batson (TEN)","2","5","15","7.5","13","0","1","2","15","0","0","4","11.0","2.8","0.0%"
"176","Ja'Marcus Bradley (CLE)","4","4","64","16.0","37","0","0","0","0","0","0","4","10.4","2.6","0.0%"
"177","Mike Thomas (CIN)","5","11","52","10.4","19","0","0","0","0","0","0","7","10.2","1.5","0.1%"
"178","Dezmon Patmon (IND)","2","4","21","10.5","14","0","1","0","0","0","0","4","10.1","2.5","0.0%"
"179","Curtis Samuel (WAS)","6","9","27","4.5","10","0","0","4","11","0","0","5","9.8","2.0","15.7%"
"180","C.J. Board (NYG)","4","6","51","12.8","38","0","0","1","6","0","0","6","9.7","1.6","0.0%"
"181","Amari Rodgers (GB)","4","8","45","11.3","19","0","0","1","11","0","0","16","9.6","0.6","0.4%"
"182","William Fuller V (FA)","4","8","26","6.5","10","0","0","0","0","0","0","2","8.6","4.3","22.8%"
"183","Jason Moore Jr. (LAC)","3","4","56","18.7","24","0","0","0","0","0","0","1","8.6","8.6","0.0%"
"184","Alex Erickson (CAR)","3","4","55","18.3","25","0","0","0","0","0","0","17","8.5","0.5","0.0%"
"185","Andre Roberts (LAC)","1","2","35","35.0","35","0","0","3","19","0","2","16","8.4","0.5","0.1%"
"186","Cody White (PIT)","5","6","33","6.6","11","0","0","0","0","0","0","6","8.3","1.4","0.0%"
"187","Willie Snead IV (FA)","4","8","38","9.5","15","0","0","0","0","0","0","7","7.8","1.1","0.1%"
"188","Pharoh Cooper (FA)","4","11","33","8.3","15","0","0","1","3","0","0","8","7.6","1.0","0.1%"
"189","Cody Hollister (TEN)","4","7","33","8.3","14","0","0","0","0","0","0","3","7.3","2.4","0.0%"
"190","Greg Dortch (ARI)","3","3","15","5.0","10","0","0","1","24","0","0","5","6.9","1.4","0.0%"
"191","D.J. Montgomery (NYJ)","3","6","36","12.0","14","0","0","0","0","0","0","2","6.6","3.3","0.0%"
"192","Christian Blake (ATL)","4","10","25","6.3","8","0","0","0","0","0","0","10","6.5","0.7","0.0%"
"193","Trent Taylor (CIN)","2","3","41","20.5","26","0","0","0","0","0","0","4","6.1","1.5","0.0%"
"194","Brandon Powell (LAR)","0","0","0","0","0","0","0","0","0","0","0","6","6.0","1.0","0.0%"
"195","Gunner Olszewski (PIT)","2","3","31","15.5","22","0","0","1","9","0","0","16","6.0","0.4","0.1%"
"196","KJ Hill Jr. (FA)","3","3","30","10.0","19","0","0","0","0","0","0","6","6.0","1.0","0.1%"
"197","J.J. Arcega-Whiteside (PHI)","2","5","36","18.0","23","0","0","0","0","0","0","7","5.6","0.8","0.1%"
"198","Trenton Irwin (CIN)","2","5","34","17.0","25","0","0","0","0","0","0","5","5.4","1.1","0.0%"
"199","Kevin White (NO)","1","5","38","38.0","38","0","0","0","0","0","0","4","4.8","1.2","0.0%"
"200","Jake Kumerow (BUF)","2","6","28","14.0","15","0","0","0","0","0","0","7","4.8","0.7","0.1%"
"201","Keith Kirkwood (FA)","3","7","17","5.7","7","0","0","0","0","0","0","3","4.7","1.6","0.0%"
"202","Mike Strachan (IND)","2","3","26","13.0","16","0","0","0","0","0","0","2","4.6","2.3","0.0%"
"203","Marcus Kemp (KC)","2","5","24","12.0","16","0","0","0","0","0","0","12","4.4","0.4","0.0%"
"204","Seth Williams (DEN)","1","1","34","34.0","34","0","0","0","0","0","0","1","4.4","4.4","0.0%"
"205","Dazz Newsome (CHI)","2","5","23","11.5","13","0","0","0","0","0","0","3","4.3","1.4","0.0%"
"206","Tylan Wallace (BAL)","2","6","23","11.5","18","0","0","0","0","0","0","10","4.3","0.4","0.1%"
"207","David Sills V (NYG)","2","6","17","8.5","12","0","0","0","0","0","0","4","3.7","0.9","0.0%"
